Test ID:,Ver:,fs:,Room:,Room Config:,Channel:,Freq band:,Centre freq:,DRR:,DRR Mean (Ch):,T60:,T60 Mean (Ch):,FB DRR :,FB DRR Mean (Ch):,FB T60:,FB T60 Mean (Ch):,Filename
26,1,16000,dales_site2_1way_bformat_3,trollers-gill,1,26,0.000000,0.000000,0.000000,0.340000,0.000000,0.000000,0.000000,0.000000,0.000000,Unknown_trollers-gill_dales_site2_1way_bformat_3_<talker>_<utter>_<noise>_<SNR>dB.wav
27,1,16000,dales_site2_1way_bformat_3,trollers-gill,1,27,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Unknown_trollers-gill_dales_site2_1way_bformat_3_<talker>_<utter>_<noise>_<SNR>dB.wav
28,1,16000,dales_site2_1way_bformat_3,trollers-gill,1,28,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Unknown_trollers-gill_dales_site2_1way_bformat_3_<talker>_<utter>_<noise>_<SNR>dB.wav
29,1,16000,dales_site2_1way_bformat_3,trollers-gill,1,29,0.000000,0.000000,0.000000,0.240000,0.000000,0.000000,0.000000,0.000000,0.000000,Unknown_trollers-gill_dales_site2_1way_bformat_3_<talker>_<utter>_<noise>_<SNR>dB.wav
30,1,16000,dales_site2_1way_bformat_3,trollers-gill,1,30,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Unknown_trollers-gill_dales_site2_1way_bformat_3_<talker>_<utter>_<noise>_<SNR>dB.wav
31,1,16000,dales_site1_1way_bformat_3,trollers-gill,1,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Unknown_trollers-gill_dales_site1_1way_bformat_3_<talker>_<utter>_<noise>_<SNR>dB.wav
32,1,16000,dales_site1_1way_bformat_3,trollers-gill,1,2,0.000000,0.000000,0.000000,0.160000,0.000000,0.000000,0.000000,0.000000,0.000000,Unknown_trollers-gill_dales_site1_1way_bformat_3_<talker>_<utter>_<noise>_<SNR>dB.wav
33,1,16000,dales_site1_1way_bformat_3,trollers-gill,1,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Unknown_trollers-gill_dales_site1_1way_bformat_3_<talker>_<utter>_<noise>_<SNR>dB.wav
34,1,16000,dales_site1_1way_bformat_3,trollers-gill,1,4,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Unknown_trollers-gill_dales_site1_1way_bformat_3_<talker>_<utter>_<noise>_<SNR>dB.wav
35,1,16000,dales_site1_1way_bformat_3,trollers-gill,1,5,0.000000,0.000000,0.000000,0.660000,0.000000,0.000000,0.000000,0.000000,0.000000,Unknown_trollers-gill_dales_site1_1way_bformat_3_<talker>_<utter>_<noise>_<SNR>dB.wav
36,1,16000,dales_site1_1way_bformat_3,trollers-gill,1,6,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Unknown_trollers-gill_dales_site1_1way_bformat_3_<talker>_<utter>_<noise>_<SNR>dB.wav
37,1,16000,dales_site1_1way_bformat_3,trollers-gill,1,7,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Unknown_trollers-gill_dales_site1_1way_bformat_3_<talker>_<utter>_<noise>_<SNR>dB.wav
38,1,16000,dales_site1_1way_bformat_3,trollers-gill,1,8,0.000000,0.000000,0.000000,0.450000,0.000000,0.000000,0.000000,0.000000,0.000000,Unknown_trollers-gill_dales_site1_1way_bformat_3_<talker>_<utter>_<noise>_<SNR>dB.wav
39,1,16000,dales_site1_1way_bformat_3,trollers-gill,1,9,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Unknown_trollers-gill_dales_site1_1way_bformat_3_<talker>_<utter>_<noise>_<SNR>dB.wav
40,1,16000,dales_site1_1way_bformat_3,trollers-gill,1,10,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Unknown_trollers-gill_dales_site1_1way_bformat_3_<talker>_<utter>_<noise>_<SNR>dB.wav
41,1,16000,dales_site1_1way_bformat_3,trollers-gill,1,11,0.000000,0.000000,0.000000,0.680000,0.000000,0.000000,0.000000,0.000000,0.000000,Unknown_trollers-gill_dales_site1_1way_bformat_3_<talker>_<utter>_<noise>_<SNR>dB.wav
42,1,16000,dales_site1_1way_bformat_3,trollers-gill,1,12,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Unknown_trollers-gill_dales_site1_1way_bformat_3_<talker>_<utter>_<noise>_<SNR>dB.wav
43,1,16000,dales_site1_1way_bformat_3,trollers-gill,1,13,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Unknown_trollers-gill_dales_site1_1way_bformat_3_<talker>_<utter>_<noise>_<SNR>dB.wav
44,1,16000,dales_site1_1way_bformat_3,trollers-gill,1,14,0.000000,0.000000,0.000000,0.750000,0.000000,0.000000,0.000000,0.000000,0.000000,Unknown_trollers-gill_dales_site1_1way_bformat_3_<talker>_<utter>_<noise>_<SNR>dB.wav
45,1,16000,dales_site1_1way_bformat_3,trollers-gill,1,15,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Unknown_trollers-gill_dales_site1_1way_bformat_3_<talker>_<utter>_<noise>_<SNR>dB.wav
46,1,16000,dales_site1_1way_bformat_3,trollers-gill,1,16,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Unknown_trollers-gill_dales_site1_1way_bformat_3_<talker>_<utter>_<noise>_<SNR>dB.wav
47,1,16000,dales_site1_1way_bformat_3,trollers-gill,1,17,0.000000,0.000000,0.000000,0.840000,0.000000,0.000000,0.000000,0.000000,0.000000,Unknown_trollers-gill_dales_site1_1way_bformat_3_<talker>_<utter>_<noise>_<SNR>dB.wav
48,1,16000,dales_site1_1way_bformat_3,trollers-gill,1,18,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Unknown_trollers-gill_dales_site1_1way_bformat_3_<talker>_<utter>_<noise>_<SNR>dB.wav
49,1,16000,dales_site1_1way_bformat_3,trollers-gill,1,19,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Unknown_trollers-gill_dales_site1_1way_bformat_3_<talker>_<utter>_<noise>_<SNR>dB.wav
50,1,16000,dales_site1_1way_bformat_3,trollers-gill,1,20,0.000000,0.000000,0.000000,0.820000,0.000000,0.000000,0.000000,0.000000,0.000000,Unknown_trollers-gill_dales_site1_1way_bformat_3_<talker>_<utter>_<noise>_<SNR>dB.wav
51,1,16000,dales_site1_1way_bformat_3,trollers-gill,1,21,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Unknown_trollers-gill_dales_site1_1way_bformat_3_<talker>_<utter>_<noise>_<SNR>dB.wav
52,1,16000,dales_site1_1way_bformat_3,trollers-gill,1,22,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Unknown_trollers-gill_dales_site1_1way_bformat_3_<talker>_<utter>_<noise>_<SNR>dB.wav
53,1,16000,dales_site1_1way_bformat_3,trollers-gill,1,23,0.000000,0.000000,0.000000,0.580000,0.000000,0.000000,0.000000,0.000000,0.000000,Unknown_trollers-gill_dales_site1_1way_bformat_3_<talker>_<utter>_<noise>_<SNR>dB.wav
54,1,16000,dales_site1_1way_bformat_3,trollers-gill,1,24,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Unknown_trollers-gill_dales_site1_1way_bformat_3_<talker>_<utter>_<noise>_<SNR>dB.wav
55,1,16000,dales_site1_1way_bformat_3,trollers-gill,1,25,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Unknown_trollers-gill_dales_site1_1way_bformat_3_<talker>_<utter>_<noise>_<SNR>dB.wav
56,1,16000,dales_site1_1way_bformat_3,trollers-gill,1,26,0.000000,0.000000,0.000000,0.420000,0.000000,0.000000,0.000000,0.000000,0.000000,Unknown_trollers-gill_dales_site1_1way_bformat_3_<talker>_<utter>_<noise>_<SNR>dB.wav
57,1,16000,dales_site1_1way_bformat_3,trollers-gill,1,27,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Unknown_trollers-gill_dales_site1_1way_bformat_3_<talker>_<utter>_<noise>_<SNR>dB.wav
58,1,16000,dales_site1_1way_bformat_3,trollers-gill,1,28,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Unknown_trollers-gill_dales_site1_1way_bformat_3_<talker>_<utter>_<noise>_<SNR>dB.wav
59,1,16000,dales_site1_1way_bformat_3,trollers-gill,1,29,0.000000,0.000000,0.000000,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,Unknown_trollers-gill_dales_site1_1way_bformat_3_<talker>_<utter>_<noise>_<SNR>dB.wav
60,1,16000,dales_site1_1way_bformat_3,trollers-gill,1,30,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Unknown_trollers-gill_dales_site1_1way_bformat_3_<talker>_<utter>_<noise>_<SNR>dB.wav
61,1,16000,dales_site3_4way_mono_1,trollers-gill,1,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Unknown_trollers-gill_dales_site3_4way_mono_1_<talker>_<utter>_<noise>_<SNR>dB.wav
62,1,16000,dales_site3_4way_mono_1,trollers-gill,1,2,0.000000,0.000000,0.000000,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,Unknown_trollers-gill_dales_site3_4way_mono_1_<talker>_<utter>_<noise>_<SNR>dB.wav
63,1,16000,dales_site3_4way_mono_1,trollers-gill,1,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Unknown_trollers-gill_dales_site3_4way_mono_1_<talker>_<utter>_<noise>_<SNR>dB.wav
64,1,16000,dales_site3_4way_mono_1,trollers-gill,1,4,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Unknown_trollers-gill_dales_site3_4way_mono_1_<talker>_<utter>_<noise>_<SNR>dB.wav
65,1,16000,dales_site3_4way_mono_1,trollers-gill,1,5,0.000000,0.000000,0.000000,0.180000,0.000000,0.000000,0.000000,0.000000,0.000000,Unknown_trollers-gill_dales_site3_4way_mono_1_<talker>_<utter>_<noise>_<SNR>dB.wav
66,1,16000,dales_site3_4way_mono_1,trollers-gill,1,6,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Unknown_trollers-gill_dales_site3_4way_mono_1_<talker>_<utter>_<noise>_<SNR>dB.wav
67,1,16000,dales_site3_4way_mono_1,trollers-gill,1,7,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Unknown_trollers-gill_dales_site3_4way_mono_1_<talker>_<utter>_<noise>_<SNR>dB.wav
68,1,16000,dales_site3_4way_mono_1,trollers-gill,1,8,0.000000,0.000000,0.000000,0.190000,0.000000,0.000000,0.000000,0.000000,0.000000,Unknown_trollers-gill_dales_site3_4way_mono_1_<talker>_<utter>_<noise>_<SNR>dB.wav
69,1,16000,dales_site3_4way_mono_1,trollers-gill,1,9,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Unknown_trollers-gill_dales_site3_4way_mono_1_<talker>_<utter>_<noise>_<SNR>dB.wav
70,1,16000,dales_site3_4way_mono_1,trollers-gill,1,10,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Unknown_trollers-gill_dales_site3_4way_mono_1_<talker>_<utter>_<noise>_<SNR>dB.wav
71,1,16000,dales_site3_4way_mono_1,trollers-gill,1,11,0.000000,0.000000,0.000000,1.070000,0.000000,0.000000,0.000000,0.000000,0.000000,Unknown_trollers-gill_dales_site3_4way_mono_1_<talker>_<utter>_<noise>_<SNR>dB.wav
72,1,16000,dales_site3_4way_mono_1,trollers-gill,1,12,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Unknown_trollers-gill_dales_site3_4way_mono_1_<talker>_<utter>_<noise>_<SNR>dB.wav
73,1,16000,dales_site3_4way_mono_1,trollers-gill,1,13,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Unknown_trollers-gill_dales_site3_4way_mono_1_<talker>_<utter>_<noise>_<SNR>dB.wav
74,1,16000,dales_site3_4way_mono_1,trollers-gill,1,14,0.000000,0.000000,0.000000,0.530000,0.000000,0.000000,0.000000,0.000000,0.000000,Unknown_trollers-gill_dales_site3_4way_mono_1_<talker>_<utter>_<noise>_<SNR>dB.wav
75,1,16000,dales_site3_4way_mono_1,trollers-gill,1,15,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Unknown_trollers-gill_dales_site3_4way_mono_1_<talker>_<utter>_<noise>_<SNR>dB.wav
76,1,16000,dales_site3_4way_mono_1,trollers-gill,1,16,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Unknown_trollers-gill_dales_site3_4way_mono_1_<talker>_<utter>_<noise>_<SNR>dB.wav
77,1,16000,dales_site3_4way_mono_1,trollers-gill,1,17,0.000000,0.000000,0.000000,0.830000,0.000000,0.000000,0.000000,0.000000,0.000000,Unknown_trollers-gill_dales_site3_4way_mono_1_<talker>_<utter>_<noise>_<SNR>dB.wav
78,1,16000,dales_site3_4way_mono_1,trollers-gill,1,18,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Unknown_trollers-gill_dales_site3_4way_mono_1_<talker>_<utter>_<noise>_<SNR>dB.wav
79,1,16000,dales_site3_4way_mono_1,trollers-gill,1,19,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Unknown_trollers-gill_dales_site3_4way_mono_1_<talker>_<utter>_<noise>_<SNR>dB.wav
80,1,16000,dales_site3_4way_mono_1,trollers-gill,1,20,0.000000,0.000000,0.000000,0.600000,0.000000,0.000000,0.000000,0.000000,0.000000,Unknown_trollers-gill_dales_site3_4way_mono_1_<talker>_<utter>_<noise>_<SNR>dB.wav
81,1,16000,dales_site3_4way_mono_1,trollers-gill,1,21,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Unknown_trollers-gill_dales_site3_4way_mono_1_<talker>_<utter>_<noise>_<SNR>dB.wav
82,1,16000,dales_site3_4way_mono_1,trollers-gill,1,22,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Unknown_trollers-gill_dales_site3_4way_mono_1_<talker>_<utter>_<noise>_<SNR>dB.wav
83,1,16000,dales_site3_4way_mono_1,trollers-gill,1,23,0.000000,0.000000,0.000000,0.390000,0.000000,0.000000,0.000000,0.000000,0.000000,Unknown_trollers-gill_dales_site3_4way_mono_1_<talker>_<utter>_<noise>_<SNR>dB.wav
84,1,16000,dales_site3_4way_mono_1,trollers-gill,1,24,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Unknown_trollers-gill_dales_site3_4way_mono_1_<talker>_<utter>_<noise>_<SNR>dB.wav
85,1,16000,dales_site3_4way_mono_1,trollers-gill,1,25,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Unknown_trollers-gill_dales_site3_4way_mono_1_<talker>_<utter>_<noise>_<SNR>dB.wav
86,1,16000,dales_site3_4way_mono_1,trollers-gill,1,26,0.000000,0.000000,0.000000,0.110000,0.000000,0.000000,0.000000,0.000000,0.000000,Unknown_trollers-gill_dales_site3_4way_mono_1_<talker>_<utter>_<noise>_<SNR>dB.wav
87,1,16000,dales_site3_4way_mono_1,trollers-gill,1,27,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Unknown_trollers-gill_dales_site3_4way_mono_1_<talker>_<utter>_<noise>_<SNR>dB.wav
88,1,16000,dales_site3_4way_mono_1,trollers-gill,1,28,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Unknown_trollers-gill_dales_site3_4way_mono_1_<talker>_<utter>_<noise>_<SNR>dB.wav
89,1,16000,dales_site3_4way_mono_1,trollers-gill,1,29,0.000000,0.000000,0.000000,0.140000,0.000000,0.000000,0.000000,0.000000,0.000000,Unknown_trollers-gill_dales_site3_4way_mono_1_<talker>_<utter>_<noise>_<SNR>dB.wav
90,1,16000,dales_site3_4way_mono_1,trollers-gill,1,30,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Unknown_trollers-gill_dales_site3_4way_mono_1_<talker>_<utter>_<noise>_<SNR>dB.wav
91,1,16000,dales_site2_4way_bformat_2,trollers-gill,1,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Unknown_trollers-gill_dales_site2_4way_bformat_2_<talker>_<utter>_<noise>_<SNR>dB.wav
92,1,16000,dales_site2_4way_bformat_2,trollers-gill,1,2,0.000000,0.000000,0.000000,0.620000,0.000000,0.000000,0.000000,0.000000,0.000000,Unknown_trollers-gill_dales_site2_4way_bformat_2_<talker>_<utter>_<noise>_<SNR>dB.wav
93,1,16000,dales_site2_4way_bformat_2,trollers-gill,1,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Unknown_trollers-gill_dales_site2_4way_bformat_2_<talker>_<utter>_<noise>_<SNR>dB.wav
94,1,16000,dales_site2_4way_bformat_2,trollers-gill,1,4,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Unknown_trollers-gill_dales_site2_4way_bformat_2_<talker>_<utter>_<noise>_<SNR>dB.wav
95,1,16000,dales_site2_4way_bformat_2,trollers-gill,1,5,0.000000,0.000000,0.000000,0.560000,0.000000,0.000000,0.000000,0.000000,0.000000,Unknown_trollers-gill_dales_site2_4way_bformat_2_<talker>_<utter>_<noise>_<SNR>dB.wav
96,1,16000,dales_site2_4way_bformat_2,trollers-gill,1,6,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Unknown_trollers-gill_dales_site2_4way_bformat_2_<talker>_<utter>_<noise>_<SNR>dB.wav
97,1,16000,dales_site2_4way_bformat_2,trollers-gill,1,7,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Unknown_trollers-gill_dales_site2_4way_bformat_2_<talker>_<utter>_<noise>_<SNR>dB.wav
98,1,16000,dales_site2_4way_bformat_2,trollers-gill,1,8,0.000000,0.000000,0.000000,0.610000,0.000000,0.000000,0.000000,0.000000,0.000000,Unknown_trollers-gill_dales_site2_4way_bformat_2_<talker>_<utter>_<noise>_<SNR>dB.wav
99,1,16000,dales_site2_4way_bformat_2,trollers-gill,1,9,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Unknown_trollers-gill_dales_site2_4way_bformat_2_<talker>_<utter>_<noise>_<SNR>dB.wav
100,1,16000,dales_site2_4way_bformat_2,trollers-gill,1,10,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Unknown_trollers-gill_dales_site2_4way_bformat_2_<talker>_<utter>_<noise>_<SNR>dB.wav
101,1,16000,dales_site2_4way_bformat_2,trollers-gill,1,11,0.000000,0.000000,0.000000,0.380000,0.000000,0.000000,0.000000,0.000000,0.000000,Unknown_trollers-gill_dales_site2_4way_bformat_2_<talker>_<utter>_<noise>_<SNR>dB.wav
102,1,16000,dales_site2_4way_bformat_2,trollers-gill,1,12,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Unknown_trollers-gill_dales_site2_4way_bformat_2_<talker>_<utter>_<noise>_<SNR>dB.wav
103,1,16000,dales_site2_4way_bformat_2,trollers-gill,1,13,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Unknown_trollers-gill_dales_site2_4way_bformat_2_<talker>_<utter>_<noise>_<SNR>dB.wav
104,1,16000,dales_site2_4way_bformat_2,trollers-gill,1,14,0.000000,0.000000,0.000000,0.350000,0.000000,0.000000,0.000000,0.000000,0.000000,Unknown_trollers-gill_dales_site2_4way_bformat_2_<talker>_<utter>_<noise>_<SNR>dB.wav
105,1,16000,dales_site2_4way_bformat_2,trollers-gill,1,15,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Unknown_trollers-gill_dales_site2_4way_bformat_2_<talker>_<utter>_<noise>_<SNR>dB.wav
