Test ID:,Ver:,fs:,Room:,Session ID:,Mic Pos:,Source Pos:,Config:,Rec Type:,RIR:,Freq band:,Centre freq:,Channel:,DRR:,DRR Mean (Ch):,T60 AHM:,T30 ISO:,T20 ISO:,T60 AHM Mean (Ch):,T30 ISO Mean (Ch):,T20 ISO Mean (Ch):,ISO AHM Ints:,FB DRR :,FB DRR Mean (Ch):,FB T60 AHM:,FB T30 ISO:,FB T20 ISO:,FB T60 AHM Mean (Ch):,FB T30 ISO Mean (Ch):,FB T20 ISO Mean (Ch):,DRR direct +:,DRR direct -:
25,1,48000,tunnel_entrance_a_1way_bformat_3,NAN,1,2,innocent-railway-tunnel,IR,tunnel_entrance_a_1way_bformat_3,25,0,1.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,1,48000,tunnel_entrance_a_1way_bformat_3,NAN,1,2,innocent-railway-tunnel,IR,tunnel_entrance_a_1way_bformat_3,26,0,1.0,0,0,0.293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,1,48000,tunnel_entrance_a_1way_bformat_3,NAN,1,2,innocent-railway-tunnel,IR,tunnel_entrance_a_1way_bformat_3,27,0,1.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,1,48000,tunnel_entrance_a_1way_bformat_3,NAN,1,2,innocent-railway-tunnel,IR,tunnel_entrance_a_1way_bformat_3,28,0,1.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,1,48000,tunnel_entrance_a_1way_bformat_3,NAN,1,2,innocent-railway-tunnel,IR,tunnel_entrance_a_1way_bformat_3,29,0,1.0,0,0,0.2285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,1,48000,tunnel_entrance_a_1way_bformat_3,NAN,1,2,innocent-railway-tunnel,IR,tunnel_entrance_a_1way_bformat_3,30,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,1,48000,s1r2_4,NAN,1,2,arthur-sykes-rymer-auditorium-university-york,IR,s1r2_4,1,0,1.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,1,48000,s1r2_4,NAN,1,2,arthur-sykes-rymer-auditorium-university-york,IR,s1r2_4,2,0,1.0,0,0,0.753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,1,48000,s1r2_4,NAN,1,2,arthur-sykes-rymer-auditorium-university-york,IR,s1r2_4,3,0,1.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,1,48000,s1r2_4,NAN,1,2,arthur-sykes-rymer-auditorium-university-york,IR,s1r2_4,4,0,1.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,1,48000,s1r2_4,NAN,1,2,arthur-sykes-rymer-auditorium-university-york,IR,s1r2_4,5,0,1.0,0,0,0.608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,1,48000,s1r2_4,NAN,1,2,arthur-sykes-rymer-auditorium-university-york,IR,s1r2_4,6,0,1.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,1,48000,s1r2_4,NAN,1,2,arthur-sykes-rymer-auditorium-university-york,IR,s1r2_4,7,0,1.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,1,48000,s1r2_4,NAN,1,2,arthur-sykes-rymer-auditorium-university-york,IR,s1r2_4,8,0,1.0,0,0,0.5145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,1,48000,s1r2_4,NAN,1,2,arthur-sykes-rymer-auditorium-university-york,IR,s1r2_4,9,0,1.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,1,48000,s1r2_4,NAN,1,2,arthur-sykes-rymer-auditorium-university-york,IR,s1r2_4,10,0,1.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,1,48000,s1r2_4,NAN,1,2,arthur-sykes-rymer-auditorium-university-york,IR,s1r2_4,11,0,1.0,0,0,0.367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,1,48000,s1r2_4,NAN,1,2,arthur-sykes-rymer-auditorium-university-york,IR,s1r2_4,12,0,1.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,1,48000,s1r2_4,NAN,1,2,arthur-sykes-rymer-auditorium-university-york,IR,s1r2_4,13,0,1.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,1,48000,s1r2_4,NAN,1,2,arthur-sykes-rymer-auditorium-university-york,IR,s1r2_4,14,0,1.0,0,0,0.365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,1,48000,s1r2_4,NAN,1,2,arthur-sykes-rymer-auditorium-university-york,IR,s1r2_4,15,0,1.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,1,48000,s1r2_4,NAN,1,2,arthur-sykes-rymer-auditorium-university-york,IR,s1r2_4,16,0,1.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,1,48000,s1r2_4,NAN,1,2,arthur-sykes-rymer-auditorium-university-york,IR,s1r2_4,17,0,1.0,0,0,0.377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,1,48000,s1r2_4,NAN,1,2,arthur-sykes-rymer-auditorium-university-york,IR,s1r2_4,18,0,1.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,1,48000,s1r2_4,NAN,1,2,arthur-sykes-rymer-auditorium-university-york,IR,s1r2_4,19,0,1.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,1,48000,s1r2_4,NAN,1,2,arthur-sykes-rymer-auditorium-university-york,IR,s1r2_4,20,0,1.0,0,0,0.339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,1,48000,s1r2_4,NAN,1,2,arthur-sykes-rymer-auditorium-university-york,IR,s1r2_4,21,0,1.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,1,48000,s1r2_4,NAN,1,2,arthur-sykes-rymer-auditorium-university-york,IR,s1r2_4,22,0,1.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,1,48000,s1r2_4,NAN,1,2,arthur-sykes-rymer-auditorium-university-york,IR,s1r2_4,23,0,1.0,0,0,0.314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,1,48000,s1r2_4,NAN,1,2,arthur-sykes-rymer-auditorium-university-york,IR,s1r2_4,24,0,1.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,1,48000,s1r2_4,NAN,1,2,arthur-sykes-rymer-auditorium-university-york,IR,s1r2_4,25,0,1.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,1,48000,s1r2_4,NAN,1,2,arthur-sykes-rymer-auditorium-university-york,IR,s1r2_4,26,0,1.0,0,0,0.282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,1,48000,s1r2_4,NAN,1,2,arthur-sykes-rymer-auditorium-university-york,IR,s1r2_4,27,0,1.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,1,48000,s1r2_4,NAN,1,2,arthur-sykes-rymer-auditorium-university-york,IR,s1r2_4,28,0,1.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,1,48000,s1r2_4,NAN,1,2,arthur-sykes-rymer-auditorium-university-york,IR,s1r2_4,29,0,1.0,0,0,0.1855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,1,48000,s1r2_4,NAN,1,2,arthur-sykes-rymer-auditorium-university-york,IR,s1r2_4,30,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,1,48000,koli_summer_site1_1way_bformat_4,NAN,1,2,koli-national-park-summer,IR,koli_summer_site1_1way_bformat_4,1,0,1.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,1,48000,koli_summer_site1_1way_bformat_4,NAN,1,2,koli-national-park-summer,IR,koli_summer_site1_1way_bformat_4,2,0,1.0,0,0,0.171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,1,48000,koli_summer_site1_1way_bformat_4,NAN,1,2,koli-national-park-summer,IR,koli_summer_site1_1way_bformat_4,3,0,1.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,1,48000,koli_summer_site1_1way_bformat_4,NAN,1,2,koli-national-park-summer,IR,koli_summer_site1_1way_bformat_4,4,0,1.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,1,48000,koli_summer_site1_1way_bformat_4,NAN,1,2,koli-national-park-summer,IR,koli_summer_site1_1way_bformat_4,5,0,1.0,0,0,0.297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,1,48000,koli_summer_site1_1way_bformat_4,NAN,1,2,koli-national-park-summer,IR,koli_summer_site1_1way_bformat_4,6,0,1.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,1,48000,koli_summer_site1_1way_bformat_4,NAN,1,2,koli-national-park-summer,IR,koli_summer_site1_1way_bformat_4,7,0,1.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,1,48000,koli_summer_site1_1way_bformat_4,NAN,1,2,koli-national-park-summer,IR,koli_summer_site1_1way_bformat_4,8,0,1.0,0,0,0.194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,1,48000,koli_summer_site1_1way_bformat_4,NAN,1,2,koli-national-park-summer,IR,koli_summer_site1_1way_bformat_4,9,0,1.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,1,48000,koli_summer_site1_1way_bformat_4,NAN,1,2,koli-national-park-summer,IR,koli_summer_site1_1way_bformat_4,10,0,1.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,1,48000,koli_summer_site1_1way_bformat_4,NAN,1,2,koli-national-park-summer,IR,koli_summer_site1_1way_bformat_4,11,0,1.0,0,0,0.1475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,1,48000,koli_summer_site1_1way_bformat_4,NAN,1,2,koli-national-park-summer,IR,koli_summer_site1_1way_bformat_4,12,0,1.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,1,48000,koli_summer_site1_1way_bformat_4,NAN,1,2,koli-national-park-summer,IR,koli_summer_site1_1way_bformat_4,13,0,1.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,1,48000,koli_summer_site1_1way_bformat_4,NAN,1,2,koli-national-park-summer,IR,koli_summer_site1_1way_bformat_4,14,0,1.0,0,0,0.5015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,1,48000,koli_summer_site1_1way_bformat_4,NAN,1,2,koli-national-park-summer,IR,koli_summer_site1_1way_bformat_4,15,0,1.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,1,48000,koli_summer_site1_1way_bformat_4,NAN,1,2,koli-national-park-summer,IR,koli_summer_site1_1way_bformat_4,16,0,1.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,1,48000,koli_summer_site1_1way_bformat_4,NAN,1,2,koli-national-park-summer,IR,koli_summer_site1_1way_bformat_4,17,0,1.0,0,0,0.446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,1,48000,koli_summer_site1_1way_bformat_4,NAN,1,2,koli-national-park-summer,IR,koli_summer_site1_1way_bformat_4,18,0,1.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,1,48000,koli_summer_site1_1way_bformat_4,NAN,1,2,koli-national-park-summer,IR,koli_summer_site1_1way_bformat_4,19,0,1.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,1,48000,koli_summer_site1_1way_bformat_4,NAN,1,2,koli-national-park-summer,IR,koli_summer_site1_1way_bformat_4,20,0,1.0,0,0,0.3405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,1,48000,koli_summer_site1_1way_bformat_4,NAN,1,2,koli-national-park-summer,IR,koli_summer_site1_1way_bformat_4,21,0,1.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,1,48000,koli_summer_site1_1way_bformat_4,NAN,1,2,koli-national-park-summer,IR,koli_summer_site1_1way_bformat_4,22,0,1.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,1,48000,koli_summer_site1_1way_bformat_4,NAN,1,2,koli-national-park-summer,IR,koli_summer_site1_1way_bformat_4,23,0,1.0,0,0,0.368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,1,48000,koli_summer_site1_1way_bformat_4,NAN,1,2,koli-national-park-summer,IR,koli_summer_site1_1way_bformat_4,24,0,1.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,1,48000,koli_summer_site1_1way_bformat_4,NAN,1,2,koli-national-park-summer,IR,koli_summer_site1_1way_bformat_4,25,0,1.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,1,48000,koli_summer_site1_1way_bformat_4,NAN,1,2,koli-national-park-summer,IR,koli_summer_site1_1way_bformat_4,26,0,1.0,0,0,0.316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,1,48000,koli_summer_site1_1way_bformat_4,NAN,1,2,koli-national-park-summer,IR,koli_summer_site1_1way_bformat_4,27,0,1.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,1,48000,koli_summer_site1_1way_bformat_4,NAN,1,2,koli-national-park-summer,IR,koli_summer_site1_1way_bformat_4,28,0,1.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,1,48000,koli_summer_site1_1way_bformat_4,NAN,1,2,koli-national-park-summer,IR,koli_summer_site1_1way_bformat_4,29,0,1.0,0,0,0.1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,1,48000,koli_summer_site1_1way_bformat_4,NAN,1,2,koli-national-park-summer,IR,koli_summer_site1_1way_bformat_4,30,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,1,48000,tunnel_entrance_a_4way_bformat_3,NAN,1,2,innocent-railway-tunnel,IR,tunnel_entrance_a_4way_bformat_3,1,0,1.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,1,48000,tunnel_entrance_a_4way_bformat_3,NAN,1,2,innocent-railway-tunnel,IR,tunnel_entrance_a_4way_bformat_3,2,0,1.0,0,0,0.698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,1,48000,tunnel_entrance_a_4way_bformat_3,NAN,1,2,innocent-railway-tunnel,IR,tunnel_entrance_a_4way_bformat_3,3,0,1.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,1,48000,tunnel_entrance_a_4way_bformat_3,NAN,1,2,innocent-railway-tunnel,IR,tunnel_entrance_a_4way_bformat_3,4,0,1.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,1,48000,tunnel_entrance_a_4way_bformat_3,NAN,1,2,innocent-railway-tunnel,IR,tunnel_entrance_a_4way_bformat_3,5,0,1.0,0,0,0.6945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,1,48000,tunnel_entrance_a_4way_bformat_3,NAN,1,2,innocent-railway-tunnel,IR,tunnel_entrance_a_4way_bformat_3,6,0,1.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,1,48000,tunnel_entrance_a_4way_bformat_3,NAN,1,2,innocent-railway-tunnel,IR,tunnel_entrance_a_4way_bformat_3,7,0,1.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,1,48000,tunnel_entrance_a_4way_bformat_3,NAN,1,2,innocent-railway-tunnel,IR,tunnel_entrance_a_4way_bformat_3,8,0,1.0,0,0,0.6375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,1,48000,tunnel_entrance_a_4way_bformat_3,NAN,1,2,innocent-railway-tunnel,IR,tunnel_entrance_a_4way_bformat_3,9,0,1.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,1,48000,tunnel_entrance_a_4way_bformat_3,NAN,1,2,innocent-railway-tunnel,IR,tunnel_entrance_a_4way_bformat_3,10,0,1.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,1,48000,tunnel_entrance_a_4way_bformat_3,NAN,1,2,innocent-railway-tunnel,IR,tunnel_entrance_a_4way_bformat_3,11,0,1.0,0,0,0.757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,1,48000,tunnel_entrance_a_4way_bformat_3,NAN,1,2,innocent-railway-tunnel,IR,tunnel_entrance_a_4way_bformat_3,12,0,1.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,1,48000,tunnel_entrance_a_4way_bformat_3,NAN,1,2,innocent-railway-tunnel,IR,tunnel_entrance_a_4way_bformat_3,13,0,1.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,1,48000,tunnel_entrance_a_4way_bformat_3,NAN,1,2,innocent-railway-tunnel,IR,tunnel_entrance_a_4way_bformat_3,14,0,1.0,0,0,0.662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,1,48000,tunnel_entrance_a_4way_bformat_3,NAN,1,2,innocent-railway-tunnel,IR,tunnel_entrance_a_4way_bformat_3,15,0,1.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,1,48000,tunnel_entrance_a_4way_bformat_3,NAN,1,2,innocent-railway-tunnel,IR,tunnel_entrance_a_4way_bformat_3,16,0,1.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,1,48000,tunnel_entrance_a_4way_bformat_3,NAN,1,2,innocent-railway-tunnel,IR,tunnel_entrance_a_4way_bformat_3,17,0,1.0,0,0,0.3585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,1,48000,tunnel_entrance_a_4way_bformat_3,NAN,1,2,innocent-railway-tunnel,IR,tunnel_entrance_a_4way_bformat_3,18,0,1.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,1,48000,tunnel_entrance_a_4way_bformat_3,NAN,1,2,innocent-railway-tunnel,IR,tunnel_entrance_a_4way_bformat_3,19,0,1.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,1,48000,tunnel_entrance_a_4way_bformat_3,NAN,1,2,innocent-railway-tunnel,IR,tunnel_entrance_a_4way_bformat_3,20,0,1.0,0,0,0.343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,1,48000,tunnel_entrance_a_4way_bformat_3,NAN,1,2,innocent-railway-tunnel,IR,tunnel_entrance_a_4way_bformat_3,21,0,1.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,1,48000,tunnel_entrance_a_4way_bformat_3,NAN,1,2,innocent-railway-tunnel,IR,tunnel_entrance_a_4way_bformat_3,22,0,1.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,1,48000,tunnel_entrance_a_4way_bformat_3,NAN,1,2,innocent-railway-tunnel,IR,tunnel_entrance_a_4way_bformat_3,23,0,1.0,0,0,0.4765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,1,48000,tunnel_entrance_a_4way_bformat_3,NAN,1,2,innocent-railway-tunnel,IR,tunnel_entrance_a_4way_bformat_3,24,0,1.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,1,48000,tunnel_entrance_a_4way_bformat_3,NAN,1,2,innocent-railway-tunnel,IR,tunnel_entrance_a_4way_bformat_3,25,0,1.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,1,48000,tunnel_entrance_a_4way_bformat_3,NAN,1,2,innocent-railway-tunnel,IR,tunnel_entrance_a_4way_bformat_3,26,0,1.0,0,0,0.3575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,1,48000,tunnel_entrance_a_4way_bformat_3,NAN,1,2,innocent-railway-tunnel,IR,tunnel_entrance_a_4way_bformat_3,27,0,1.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,1,48000,tunnel_entrance_a_4way_bformat_3,NAN,1,2,innocent-railway-tunnel,IR,tunnel_entrance_a_4way_bformat_3,28,0,1.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,1,48000,tunnel_entrance_a_4way_bformat_3,NAN,1,2,innocent-railway-tunnel,IR,tunnel_entrance_a_4way_bformat_3,29,0,1.0,0,0,0.2375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
